x (µm)	y (µm)	n (1/µm^2)
8.442	19.698	1.188839502
9.38	19.698	1.84996605
10.318	19.698	2.470747152
11.256	19.698	2.367822998
12.194	19.698	1.091624262
13.132	19.698	0.680437347
14.07	19.698	0.116879029
15.008	19.698	0.01032468
15.946	19.698	0
16.884	19.698	0.418342822
17.822	19.698	0.148271717
18.76	19.698	0.135661506
19.698	19.698	0
20.636	19.698	0.013537091
21.574	19.698	0.755189425
22.512	19.698	0.597586114
23.45	19.698	0.42368647
-23.45	18.76	0
-22.512	18.76	0.478554481
-21.574	18.76	0.38720141
-20.636	18.76	0.40838893
-19.698	18.76	0
-18.76	18.76	0.107994868
-17.822	18.76	0
-16.884	18.76	0.112334048
-15.946	18.76	0
-15.008	18.76	0
-14.07	18.76	0.221049811
-13.132	18.76	0.068886433
-12.194	18.76	1.039416086
-11.256	18.76	0.204533152
-10.318	18.76	0.903273116
-9.38	18.76	0.91824451
-8.442	18.76	1.00829262
-7.504	18.76	1.161399546
-6.566	18.76	1.729078867
-5.628	18.76	1.851801528
-4.69	18.76	1.2114341
-3.752	18.76	1.2633952
-2.814	18.76	2.123483288
-1.876	18.76	2.491544766
-0.938	18.76	2.074371021
0	18.76	1.15184482
0.938	18.76	1.626711571
1.876	18.76	1.447043266
2.814	18.76	1.834630689
3.752	18.76	2.529756868
4.69	18.76	2.306989412
5.628	18.76	2.209997503
6.566	18.76	1.745909951
7.504	18.76	1.470051211
8.442	18.76	1.779563184
9.38	18.76	1.96595062
10.318	18.76	2.570584712
11.256	18.76	2.251891202
12.194	18.76	1.26750538
13.132	18.76	0.028749108
14.07	18.76	0
15.008	18.76	0.170261667
15.946	18.76	0.279110792
16.884	18.76	0.418761614
17.822	18.76	0.125116779
18.76	18.76	0.323716275
19.698	18.76	0.245349094
20.636	18.76	0.550852582
21.574	18.76	0.729270861
22.512	18.76	0.007328334
23.45	18.76	0.42368647
-23.45	17.822	0.052719675
-22.512	17.822	0.007436671
-21.574	17.822	0
-20.636	17.822	0.240431703
-19.698	17.822	0.236892257
-18.76	17.822	0.205135694
-17.822	17.822	0.057826543
-16.884	17.822	0.194219733
-15.946	17.822	0
-15.008	17.822	0.339518462
-14.07	17.822	0.322308355
-13.132	17.822	0.174206475
-12.194	17.822	0.78563004
-11.256	17.822	0.895507958
-10.318	17.822	0.990748667
-9.38	17.822	2.204012292
-8.442	17.822	2.147656769
-7.504	17.822	1.854541067
-6.566	17.822	2.515021272
-5.628	17.822	2.531491338
-4.69	17.822	1.908250844
-3.752	17.822	1.760078588
-2.814	17.822	1.98301973
-1.876	17.822	2.501971042
-0.938	17.822	2.341476851
0	17.822	2.508946459
0.938	17.822	1.925015
1.876	17.822	2.574607825
2.814	17.822	2.527781147
3.752	17.822	2.649199258
4.69	17.822	2.638729438
5.628	17.822	2.391331568
6.566	17.822	2.441946686
7.504	17.822	2.544556252
8.442	17.822	2.041516959
9.38	17.822	1.79960307
10.318	17.822	1.674226302
11.256	17.822	1.607736289
12.194	17.822	0.99042593
13.132	17.822	0.673071379
14.07	17.822	0
15.008	17.822	0.510606663
15.946	17.822	0.17496104
16.884	17.822	0.727262938
17.822	17.822	0.154902653
18.76	17.822	0.06194082
19.698	17.822	0
20.636	17.822	0.152241309
21.574	17.822	0.47460533
22.512	17.822	0.3670764
23.45	17.822	0.406727959
-23.45	16.884	0.471892599
-22.512	16.884	0
-21.574	16.884	0
-20.636	16.884	0.119816312
-19.698	16.884	0
-18.76	16.884	0
-17.822	16.884	0.095063036
-16.884	16.884	0.194219733
-15.946	16.884	0.026686942
-15.008	16.884	0
-14.07	16.884	0
-13.132	16.884	0.394736908
-12.194	16.884	0.888758225
-11.256	16.884	1.69704613
-10.318	16.884	1.826437767
-9.38	16.884	1.820405585
-8.442	16.884	2.685068764
-7.504	16.884	2.177822474
-6.566	16.884	2.731343326
-5.628	16.884	2.59796449
-4.69	16.884	2.39215389
-3.752	16.884	1.709503363
-2.814	16.884	2.416322544
-1.876	16.884	2.842324593
-0.938	16.884	3.231681806
0	16.884	2.129111566
0.938	16.884	3.029647752
1.876	16.884	2.988173161
2.814	16.884	3.838900127
3.752	16.884	2.413767905
4.69	16.884	2.577387694
5.628	16.884	2.809337756
6.566	16.884	3.426755468
7.504	16.884	3.14711302
8.442	16.884	3.042210067
9.38	16.884	2.196679635
10.318	16.884	2.200793973
11.256	16.884	2.200793973
12.194	16.884	2.109738151
13.132	16.884	1.129622102
14.07	16.884	0.373637341
15.008	16.884	0.534096087
15.946	16.884	0.056918387
16.884	16.884	1.059292905
17.822	16.884	0.290440084
18.76	16.884	0.052076949
19.698	16.884	0
20.636	16.884	0.067378518
21.574	16.884	0.1848791
22.512	16.884	0.293780442
23.45	16.884	0
-23.45	15.946	0.185391108
-22.512	15.946	0
-21.574	15.946	0.172812061
-20.636	15.946	0.394780139
-19.698	15.946	0
-18.76	15.946	0
-17.822	15.946	0.43103853
-16.884	15.946	0
-15.946	15.946	0.012692972
-15.008	15.946	0.023044748
-14.07	15.946	0.844426553
-13.132	15.946	0.326135307
-12.194	15.946	0.97704288
-11.256	15.946	2.183335856
-10.318	15.946	2.38173903
-9.38	15.946	2.300994684
-8.442	15.946	2.569664055
-7.504	15.946	2.976976106
-6.566	15.946	3.286954764
-5.628	15.946	2.631751199
-4.69	15.946	2.870017878
-3.752	15.946	2.295582702
-2.814	15.946	2.996051473
-1.876	15.946	3.717046452
-0.938	15.946	3.362518153
0	15.946	2.646458615
0.938	15.946	2.913293909
1.876	15.946	2.445334118
2.814	15.946	3.910881983
