k	e	err(e)
Å-1	meV	meV
2.276	1.1337	--
2.278	1.1370	--
2.280	1.1396	--
2.282	1.1437	--
2.284	1.1460	--
2.286	1.1492	--
2.288	1.1521	--
2.290	1.1544	--
2.292	1.1584	--
2.294	1.1604	--
2.296	1.1650	--
2.298	1.1670	--
2.300	1.1701	--
2.302	1.1731	--
2.304	1.1753	--
2.306	1.1788	--
2.308	1.1813	--
2.310	1.1835	--
2.312	1.1864	--
2.314	1.1890	--
2.316	1.1934	--
2.318	1.1958	--
2.320	1.1993	0.0021
2.322	1.2021	--
2.324	1.2042	--
2.326	1.2068	--
2.328	1.2090	--
2.330	1.2123	--
2.332	1.2142	--
2.334	1.2164	--
2.336	1.2198	--
2.338	1.2220	--
2.340	1.2257	--
2.342	1.2282	--
2.344	1.2297	--
2.346	1.2314	--
2.348	1.2338	--
2.350	1.2370	--
2.352	1.2384	--
2.354	1.2397	--
2.356	1.2443	--
2.358	1.2468	--
2.360	1.2486	--
2.362	1.2498	--
2.364	1.2529	--
2.366	1.2563	--
2.368	1.2581	--
2.370	1.2600	--
2.372	1.2618	--
2.374	1.2647	--
2.376	1.2662	--
2.378	1.2678	--
2.380	1.2710	--
2.382	1.2733	--
2.384	1.2751	--
2.386	1.2765	--
2.388	1.2787	--
2.390	1.2814	--
2.392	1.2838	--
2.394	1.2854	--
2.396	1.2873	--
2.398	1.2891	--
2.400	1.2914	0.0025
2.402	1.2940	--
2.404	1.2965	--
2.406	1.2972	--
2.408	1.2992	--
2.410	1.3010	--
2.412	1.3030	--
2.414	1.3047	--
2.416	1.3069	--
2.418	1.3085	--
2.420	1.3097	--
2.422	1.3123	--
2.424	1.3142	--
2.426	1.3164	--
2.428	1.3184	--
2.430	1.3203	--
2.432	1.3210	--
2.434	1.3218	--
2.436	1.3234	--
2.438	1.3252	--
2.440	1.3280	--
2.442	1.3289	--
2.444	1.3312	--
2.446	1.3323	--
2.448	1.3341	--
2.450	1.3363	--
2.452	1.3373	--
2.454	1.3394	--
2.456	1.3403	--
2.458	1.3419	--
2.460	1.3429	--
2.462	1.3453	--
2.464	1.3469	--
2.466	1.3491	--
2.468	1.3501	--
2.470	1.3514	--
2.472	1.3531	--
2.474	1.3548	--
2.476	1.3560	--
2.478	1.3571	--
2.480	1.3590	--
2.482	1.3605	--
2.484	1.3616	--
2.486	1.3633	--
2.488	1.3643	--
2.490	1.3655	--
2.492	1.3671	--
2.494	1.3678	--
2.496	1.3685	--
2.498	1.3701	--
2.500	1.3718	--
2.502	1.3742	--
2.504	1.3746	--
2.506	1.3748	--
